,Bi-gram,Frequency
0,mins ago,74
1,google cloud,9
2,hour ago,9
3,secs ago,6
4,net core,5
5,spring boot,4
6,min ago,4
7,ago user,4
8,views howi,4
9,react navigation,4
10,python tensorflow,3
11,machine learning,3
12,python pandas,3
13,asp net,3
14,nested json,3
15,vertex ai,3
16,hours ago,3
17,software engineer,3
18,fx nchen,3
19,stack overflow,2
20,azure pipelines,2
21,lambda asked,2
22,docker docker,2
23,docker compose,2
24,tensorflow machine,2
