,Bi-gram,Frequency
0,und werbeanzeigen,3
1,sie sich,3
2,sie zu,2
3,zu youtube,2
4,cookies und,2
5,und daten,2
6,abh ngig,2
7,ngig von,2
8,von ihren,2
9,bei google,2
10,google und,2
11,inhalte und,2
12,geh ren,2
13,bevor sie,1
14,youtube weitergehenanmelden,1
15,weitergehenanmelden ein,1
16,ein google,1
17,google unternehmenbevor,1
18,unternehmenbevor sie,1
19,youtube weitergehengoogle,1
